,movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,fecha_ingreso_dt,fecha_egreso_dt,hora_ingreso_invalida,duracion_horas,exceso_velocidad_real,exceso_velocidad
count,504,504,473,480,504,504,504,504,504,504,489,475.0,504.0,504.0,487,504,504,504,430.0,504.0,504.0
unique,504,40,20,8,6,8,8,435,399,439,448,,,,4,,,2,,,
top,MOV-01500,B-004,ONEPARANA,R-07,MUELLED,TRIGO,VALPARAISO,1900-01-01,00:00,1900-01-01,____,,,,DESPACHADO,,,False,,,
freq,1,19,32,79,91,75,75,14,30,9,7,,,,128,,,474,,,
mean,,,,,,,,,,,,5027.824842105264,14.24920634920635,11.198412698412698,,2019-03-07 11:08:34.285714176,2020-05-27 18:25:42.857142784,,95.30779069767442,3.0507936507936506,2.490873015873015
min,,,,,,,,,,,,1826.69,10.6,10.0,,1900-01-01 00:00:00,1900-01-01 00:00:00,,0.35,0.5999999999999996,0.05000000000000071
25%,,,,,,,,,,,,4088.69,12.8,10.0,,2021-02-23 00:00:00,2021-03-17 00:00:00,,21.675,1.5,0.9999999999999982
50%,,,,,,,,,,,,4998.12,14.0,10.0,,2022-07-10 00:00:00,2022-07-30 00:00:00,,40.11666666666667,2.75,2.1999999999999993
75%,,,,,,,,,,,,5953.755,15.7,12.0,,2023-11-08 12:00:00,2023-11-19 06:00:00,,57.04166666666667,4.199999999999999,3.6249999999999996
max,,,,,,,,,,,,8552.11,20.2,15.0,,2024-12-27 00:00:00,2025-01-01 00:00:00,,5688.816666666667,9.7,9.2
std,,,,,,,,,,,,1262.9490504872772,2.09828088421569,1.508200730557951,,,,,461.06709218775796,1.7989392072692898,1.8158393093448184
